url,ID,nickname,comment,like,time
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,6591202811,洛洛-YiBo,不忘初心，牢记使命,42,2020-07-01 14:40:07
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,6364682998,小猪崽子·,不忘初心，牢记使命,30,2020-07-01 14:36:48
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,1879153113,自由小雪儿,初心不改，使命在肩！,26,2020-07-01 14:41:41
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,7271213075,超酷又甜,不忘初心，继续前行,15,2020-07-01 14:41:07
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,2452342351,啵妈爱仔,不忘初心，继续前行,15,2020-07-01 15:05:02
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,6864835528,逃夭阿,不忘初心，牢记使命！,14,2020-07-01 14:43:58
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,6905895576,浪漫信徒,初心不改，99如一！,9,2020-07-01 14:45:57
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,5368994914,高木先生takaki,初心不忘，继续前行！,13,2020-07-01 14:35:46
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,2883064614,a甜甜的啵板糖,不忘初心牢记使命,8,2020-07-01 14:45:31
https://weibo.cn/comment/hot/J9bno7NaC?rl=2,7273480884,亿点点心意,不忘初心,8,2020-07-01 14:41:39
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,jh0431,寻味长春,这是好事啊,7,2020-06-29 14:05:45
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,6152414687,锦鲤空大了,希望疫情赶快过去，公司连底薪都付不起了,13,2020-06-29 14:06:01
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,2106884722,夏眸,真细心，感谢分享,5,2020-06-29 14:12:12
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,6082120059,少年影视剧,好事啊，期待疫情早日结束。,3,2020-06-29 14:07:59
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,5637297341,小幸运-吖,赞,3,2020-06-29 14:06:41
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,yuhan0426,小茄日记_,很细心,3,2020-06-29 14:05:38
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,haoshuang516,偷偷地幸福着,虽然希望自己用不到，但还是转发收藏下,2,2020-06-29 15:41:41
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,7454128846,海苔布蕾牛角包,太好了 很细心 一目了然为市民提供全方位的服务,2,2020-06-29 14:08:07
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,2550441207,创造77,更多的及时检测，才能早日杜绝病毒传播。,1,2020-06-29 17:00:55
https://weibo.cn/comment/hot/J8Sk9kBh1?rl=2,2964217351,唯Love晨熙,,1,2020-06-29 14:36:13
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,7279927299,YiB唯爱君君,北京加油！北京加油！加油加油,96,2020-06-28 08:22:01
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,6523260829,四月D猫壳_Champ85,早日清零，北京加油,61,2020-06-28 08:23:05
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,7100386200,木木M木子李,北京加油,34,2020-06-28 08:22:45
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,1879153113,自由小雪儿,早日清零，北京加油！,30,2020-06-28 08:24:51
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,5873290294,嗳芯硕,加油,17,2020-06-28 08:25:19
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,1955969671,红樱桃拂绿了芭蕉,北京加油[加油],20,2020-06-28 08:21:27
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,7282798128,宝贝烁雪,北京加油，加油,13,2020-06-28 08:26:55
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,3074181393,津彩青春,加油，炸酱面[加油][加油][加油],12,2020-06-28 08:22:15
https://weibo.cn/comment/hot/J8GE8vtls?rl=2,3021836007,毛毛mxxlzy,北京加油,7,2020-06-28 08:42:30
https://weibo.cn/comment/hot/J8t2o6ISD?rl=2,6867738279,卷卷毛球呀,我们起好了 特朗普病毒,3285,2020-06-26 21:43:40
https://weibo.cn/comment/hot/J8t2o6ISD?rl=2,5949771649,陈芊芊·,崔娃真是快乐源泉,1357,2020-06-26 21:43:01
https://weibo.cn/comment/hot/J8t2o6ISD?rl=2,urnotyolanda,_此刻即未来_,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈等着特朗普这就上推特骂你,1001,2020-06-26 21:43:27
